47,92,03,바이오식품/소재
47,92,04,생물농약/소재
47,92,05,생물화학소재
47,92,06,생물환경소재
47,92,07,시약/진단제
47,92,08,기타 생물소재/제품
47,93,00,생물공정/기기
47,93,01,생물공정기술
47,93,02,생물전자/정보
47,93,03,생물엔지니어링기술
47,93,04,기타 생물공정/기기
47,94,00,세라믹재료
47,94,01,시멘트,콘크리트,내화물
47,94,02,원료 및 나노세라믹 분말
47,94,03,유리,유약,법랑
47,94,04,도자기, 타일등
47,94,05,단결정
47,94,06,세라믹제조공정기술
47,94,07,화학?생체 기능재료
47,94,08,광?전자세라믹스
47,94,09,고강도 ?열 기능재료
47,94,10,나노세라믹 복합재료기술
47,94,11,기타 세라믹재료
